restaurant_id,summary,nutrition_score
18892,"Restaurant: Chef Geoff's West End, Price Range: $, Zip Code: 20037. Menu Categories: Btl/Canned Beers (13 items, avg price $4.29); Burgers &amp; Sandwiches (7 items, avg price $19.43); Cocktails (2 items, avg price $0.00); Dessert (4 items, avg price $13.12); Draft Beers (4 items, avg price $0.00); Features (10 items, avg price $24.90); Kid's (7 items, avg price $11.86); Pasta (4 items, avg price $24.00); Picked for you (5 items, avg price $21.20); Pizza (5 items, avg price $17.20); Red Wine (7 items, avg price $38.14); Rose (2 items, avg price $34.00); Salads (6 items, avg price $14.00); Sides (9 items, avg price $1.22); Simple &amp; Healthy (5 items, avg price $28.00); Sparkling (1 items, avg price $32.00); Starters (9 items, avg price $12.00); White Wine (6 items, avg price $34.83).",73
18894,"Restaurant: Aasta la Pizza (Georgetown), Price Range: $, Zip Code: 20007. Menu Categories: Beverages (13 items, avg price $2.37); Create Your Own Pizza (1 items, avg price $11.99); Desserts (4 items, avg price $5.99); Grande Calzones (3 items, avg price $15.99); Pasta (5 items, avg price $14.39); Picked for you (5 items, avg price $11.79); Pizzas (6 items, avg price $15.99); Salad (1 items, avg price $8.99).",64
18896,"Restaurant: Mason’s Famous Lobster Rolls, Price Range: nan, Zip Code: 20007. Menu Categories: Beverages (8 items, avg price $3.62); Make at Home Lobster Roll Kits (2 items, avg price $33.50); Mason's Famous Lobster Rolls (6 items, avg price $18.33); Picked for you (5 items, avg price $13.80); Salads (3 items, avg price $14.33); Sides (5 items, avg price $3.00); Soups (4 items, avg price $7.00).",58
18899,"Restaurant: Big Bad Wings &amp; Tenders, Price Range: $, Zip Code: 20010. Menu Categories: Picked for you (5 items, avg price $12.39); Quesadilla  (6 items, avg price $14.16); SIDE ITEM (5 items, avg price $4.80); Salad (6 items, avg price $13.49); Sandwiches (3 items, avg price $13.32); Wings an tenders (15 items, avg price $10.80).",47
18900,"Restaurant: Rice Bar, Price Range: $$$, Zip Code: 20024. Menu Categories: Drinks (5 items, avg price $2.50); Picked for you (5 items, avg price $11.08); Signature Bibimbap (9 items, avg price $9.32); Signature Noodle (7 items, avg price $10.71).",54
18906,"Restaurant: Hard Rock Cafe (Washington DC), Price Range: $, Zip Code: 20004. Menu Categories: Appetizers (9 items, avg price $19.21); Beverages (4 items, avg price $2.19); Burgers (7 items, avg price $17.56); Desserts (3 items, avg price $10.32); Entrees (7 items, avg price $28.70); Kid's Menu (4 items, avg price $8.95); LTO (2 items, avg price $8.45); Picked for you (5 items, avg price $17.19); Salads (4 items, avg price $19.49); Sandwiches (3 items, avg price $16.66); Sides (5 items, avg price $5.93); Smokehouse BBQ Bundle (1 items, avg price $149.99).",43
18907,"Restaurant: Fat Petes BBQ, Price Range: $$, Zip Code: 20008. Menu Categories: BBQ Sandwiches (6 items, avg price $15.17); BBQ by the LB (25 items, avg price $15.24); Combo Platters (3 items, avg price $41.50); Desserts (4 items, avg price $8.50); Housemade Sauces (6 items, avg price $0.50); Picked for you (5 items, avg price $19.60); Platters (11 items, avg price $22.59); Salads (3 items, avg price $14.17); Sides (12 items, avg price $4.42); Specialty Sandwiches (6 items, avg price $16.00); Starters (9 items, avg price $10.86).",67
18912,"Restaurant: Sunoco (2830 Sherman Ave), Price Range: $, Zip Code: 20001. Menu Categories: Candy &amp; Gum (57 items, avg price $3.26); Canned Goods (5 items, avg price $3.61); Chips &amp; Crackers (28 items, avg price $2.12); Chocolate (36 items, avg price $2.56); Coffee &amp; Tea Drinks (11 items, avg price $2.82); Condiments &amp; Sauces (11 items, avg price $4.11); Cookies &amp; Sweet Treats (24 items, avg price $1.82); Energy &amp; Electrolyte Drinks (26 items, avg price $3.55); Juice (4 items, avg price $2.79); Nutritional Bars (15 items, avg price $2.78); Other Groceries (11 items, avg price $2.17); Personal Care (11 items, avg price $5.71); Picked for you (5 items, avg price $2.55); Popcorn, Pretzels, Nuts, &amp; Jerky (14 items, avg price $4.98); Soda (20 items, avg price $2.75); Water (8 items, avg price $2.77).",23
18915,"Restaurant: Michele's, Price Range: nan, Zip Code: 20005. Menu Categories: Caviar and Beignets (3 items, avg price $107.33); Charcuterie (4 items, avg price $16.50); Desserts (4 items, avg price $14.00); Fresh Cold Pressed Juices (4 items, avg price $0.00); Freshly Baked Bread (3 items, avg price $12.33); Local Seasonal Cheeses (1 items, avg price $0.00); Meats (4 items, avg price $54.00); Michele's Dinners for 2 (2 items, avg price $118.50); Non-Alcholic Beverages (8 items, avg price $4.12); Picked for you (5 items, avg price $26.80); Raw Bar &amp; Chilled Seafood (4 items, avg price $21.00); Seafood (3 items, avg price $38.00); Vegetables (5 items, avg price $17.20).",74
18919,"Restaurant: Haikan (Cardozo), Price Range: $$, Zip Code: 20001. Menu Categories: BEER (21+ &amp; must buy w/ food item) (2 items, avg price $11.55); COCKTAILS (21+ must buy w/ food item) (11 items, avg price $12.45); DRINKS (9 items, avg price $3.39); EXTRA TOPPINGS (14 items, avg price $1.89); RAMEN &amp; SIDES (8 items, avg price $16.42); SAKE &amp; WINE (21+ &amp; must buy w/ food item) (5 items, avg price $12.41).",44
18922,"Restaurant: The District Sports Bar , Price Range: nan, Zip Code: 20001. Menu Categories: Beverages (6 items, avg price $3.67); Sides (1 items, avg price $5.00); Starter Menu (3 items, avg price $12.00).",43
18925,"Restaurant: Twins Jazz (Adams Morgan), Price Range: $$$, Zip Code: 20009. Menu Categories: Appetizers (3 items, avg price $12.33); Desserts (3 items, avg price $10.00); Drinks (3 items, avg price $4.00); Entrees (7 items, avg price $20.14); Handhelds and Burgers (3 items, avg price $14.00); Picked for you (5 items, avg price $20.00); Sides (9 items, avg price $6.11); Soups (4 items, avg price $12.00).",68
18926,"Restaurant: The Town Tavern, Price Range: $$, Zip Code: 20009. Menu Categories: Bar Bites (8 items, avg price $9.31); Big Bowl Salads (3 items, avg price $12.33); Burger Board (5 items, avg price $14.80); Canned Beverage (6 items, avg price $3.67); Picked for you (5 items, avg price $9.90); Sandwiches and Such (2 items, avg price $12.50); The Wing Wall (2 items, avg price $12.50).",73
18931,"Restaurant: Lupo Verde Osteria, Price Range: $, Zip Code: 20007. Menu Categories: Antipasti (4 items, avg price $17.50); Dolci (2 items, avg price $14.00); Insalate (4 items, avg price $17.00); Picked for you (5 items, avg price $20.80); Pizza (3 items, avg price $15.00); Primi (6 items, avg price $28.00); Secondi (4 items, avg price $42.75).",60
18938,"Restaurant: Retrobottega, Price Range: $, Zip Code: 20009. Menu Categories: Antipasti (4 items, avg price $15.50); Cicchetti (9 items, avg price $8.00); Dolci (3 items, avg price $8.00); Pasta (13 items, avg price $23.08); Picked for you (5 items, avg price $20.40).",72
18939,"Restaurant: Sfoglina Van Ness, Price Range: $, Zip Code: 20008. Menu Categories: Pasta Kits (2 items, avg price $37.50); Shop (3 items, avg price $39.32).",72
18946,"Restaurant: Fedwings, Price Range: $, Zip Code: 20036. Menu Categories: Combos (2 items, avg price $18.70); Drinks (4 items, avg price $2.20); Jumbo Wings and Chicken Tenders (3 items, avg price $33.37); Picked for you (5 items, avg price $24.97); Sides &amp; Extras (8 items, avg price $2.20).",15
18949,"Restaurant: Busboys and Poets - 14th &amp; V, Price Range: $$, Zip Code: 20009. Menu Categories: COFFEE ☕️ (14 items, avg price $3.89); HOT TEA 🍵 (9 items, avg price $3.28); JUICE 🍋 (12 items, avg price $5.00); LATTE ☕️ (10 items, avg price $4.85); Picked for you (5 items, avg price $5.50); SODA+ 🥛 (21 items, avg price $3.57).",43
18950,"Restaurant: Lupo Marino, Price Range: $, Zip Code: 20024. Menu Categories: Antipasti (6 items, avg price $14.33); Build Your Own (1 items, avg price $13.00); Fritti (4 items, avg price $14.25); Panini (4 items, avg price $14.50); Pasta (4 items, avg price $24.75); Pasticceria (4 items, avg price $9.00); Picked for you (5 items, avg price $17.20); Pizze (6 items, avg price $17.00).",42
18951,"Restaurant: 90 Second Pizza, Price Range: $, Zip Code: 20007. Menu Categories: Dessert (2 items, avg price $3.49); Drinks (4 items, avg price $1.99); Picked for you (5 items, avg price $10.29); Pizza (13 items, avg price $11.99); Vegan Pizza (4 items, avg price $11.99).",83
18953,"Restaurant: Penn Quarter Sports Tavern, Price Range: $$, Zip Code: 20004. Menu Categories: Beer (21 items, avg price $7.36); Beer Buckets (5 Beers) (15 items, avg price $31.00); Bourbon/Whiskey/Scotch (16 items, avg price $12.12); Classic Cocktails (14 items, avg price $11.79); Cordials (4 items, avg price $11.25); Frozen Drinks (4 items, avg price $11.00); NA Beverage (34 items, avg price $4.42); Picked for you (5 items, avg price $15.60); Rum/Tequila (10 items, avg price $10.68); Signature Cocktails (10 items, avg price $11.00); Specialty Cocktail Carafes (serves 4) (8 items, avg price $31.00); Vodka/Gin (8 items, avg price $11.00); Wine (9 items, avg price $15.33).",22
18955,"Restaurant: Thunder Burger &amp; Bar, Price Range: $$, Zip Code: 20007. Menu Categories: Burgers (13 items, avg price $16.68); Desserts (2 items, avg price $7.50); Salads (5 items, avg price $13.40); Sides (8 items, avg price $4.25); Starters (20 items, avg price $10.45).",64
18957,"Restaurant: Cleveland Park Bar &amp; Grill (Cleveland Park), Price Range: $$, Zip Code: 20008. Menu Categories: Dessert (2 items, avg price $8.00); Drinks (4 items, avg price $3.50); Kids Menu (4 items, avg price $6.25); Pasta (6 items, avg price $16.50); Picked for you (5 items, avg price $12.00); Pizza (13 items, avg price $15.69); Salads (5 items, avg price $9.80); Sandwiches and Burgers (11 items, avg price $14.00); Starters (15 items, avg price $12.27).",73
18961,"Restaurant: Crispy Buffalo Wings (1782 Florida Ave NW #1ab), Price Range: $, Zip Code: 20009. Menu Categories: Desserts (5 items, avg price $7.99); Drinks (6 items, avg price $2.49); Fried Chicken Wings (6 items, avg price $17.99); NY Style Gyros Wraps (5 items, avg price $19.99); Oven Baked Jumbo Chicken Wings (6 items, avg price $17.99); Picked for you (5 items, avg price $16.39); Sides (5 items, avg price $11.19).",23
18963,"Restaurant: Jeni's Splendid Ice Creams (14th St.), Price Range: $$$, Zip Code: 20009. Menu Categories: Cones, Sprinkles &amp; Sauces (4 items, avg price $6.44); Pints (17 items, avg price $14.00).",64
18966,"Restaurant: Clyde's of Gallery Place, Price Range: $, Zip Code: 20001. Menu Categories: Desserts (5 items, avg price $8.59); Drinks (2 items, avg price $2.00); Kids (5 items, avg price $7.99); Libations (6 items, avg price $8.50); Mains (12 items, avg price $24.41); Picked for you (5 items, avg price $16.39); Salads (7 items, avg price $17.99); Sandwiches (16 items, avg price $18.05); Starters (13 items, avg price $12.07).",62
18967,"Restaurant: Gong Cha(1901 penn Ave), Price Range: $, Zip Code: 20006. Menu Categories: Brewed Tea Series (8 items, avg price $4.59); Coffee Series (6 items, avg price $5.55); Creative Mix Series (15 items, avg price $6.03); Egg Waffle (3 items, avg price $8.16); Marble Series (4 items, avg price $6.95); Milk Foam Series (9 items, avg price $5.79); Milk Tea (28 items, avg price $6.59); Picked for you (5 items, avg price $6.54); Smoothie (5 items, avg price $6.95); Sparkling Series (9 items, avg price $6.03); Yogurt Series (5 items, avg price $6.25).",42
18970,"Restaurant: Auntie Anne's (429 L'Enfant Plaza SW Inline space, #460), Price Range: $, Zip Code: 20260. Menu Categories: Cold Beverages (5 items, avg price $2.41); Dips (7 items, avg price $0.99); Our Handmade Classics (10 items, avg price $4.70); Picked for you (5 items, avg price $4.65); Pretzel Buckets (3 items, avg price $27.16); Pretzel Bundles (4 items, avg price $6.92).",32
18971,"Restaurant: Tabard Inn, Price Range: $, Zip Code: 20036. Menu Categories: Brunch Classics (8 items, avg price $18.62); From the Bakery (1 items, avg price $2.00); Picked for you (5 items, avg price $15.80); Sides (5 items, avg price $5.20); Tabard Entrees (2 items, avg price $24.00); Tabard Sandwiches (2 items, avg price $17.00); To Begin... (4 items, avg price $14.25).",64
18972,"Restaurant: Georgetown Cupcake (Georgetown), Price Range: $$, Zip Code: 20007. Menu Categories: 2 Cupcakes (1 items, avg price $7.50); 4 Pack of Cupcakes (1 items, avg price $15.00); A Dozen Cupcakes (3 items, avg price $38.00); Half Dozen Cupcakes (1 items, avg price $20.00).",0
18973,"Restaurant: The Dough Jar (Wisconsin Ave), Price Range: $$$, Zip Code: 20007. Menu Categories: Baked Desserts (4 items, avg price $16.56); Cookie Dough &amp; Ice Cream Combos (5 items, avg price $11.80); Cookie Dough Packs (6 items, avg price $44.82); Cookie Dough Scoop Shop (3 items, avg price $9.67); Drinks (3 items, avg price $2.83); Family Fun (2 items, avg price $30.00); Ice Cream &amp; Other Treats (2 items, avg price $10.00); Signature Dough Jars (9 items, avg price $6.08).",39
18974,"Restaurant: Breadline, Price Range: $, Zip Code: 20006. Menu Categories: Classic Sandwiches (10 items, avg price $8.34); Daily Specials (2 items, avg price $10.39); Hot Sandwiches (3 items, avg price $8.69); Piadines (4 items, avg price $8.89); Salads (1 items, avg price $7.99).",42
18975,"Restaurant: Bakers &amp; Baristas (DC), Price Range: $, Zip Code: 20004. Menu Categories: Drinks (5 items, avg price $7.00).",64
18978,"Restaurant: Bakeshop (Georgetown), Price Range: nan, Zip Code: 20007. Menu Categories: Cookies (10 items, avg price $3.00); Cream Pies (2 items, avg price $4.00); Cupcakes (4 items, avg price $24.38); From the Icebox (10 items, avg price $5.95); Macarons (3 items, avg price $22.92); Picked for you (5 items, avg price $20.25); Treats (6 items, avg price $3.96); Vegan Items (12 items, avg price $6.85).",67
18981,"Restaurant: Wawa 6003 (1222 Wisconsin Ave Nw), Price Range: $, Zip Code: 20007. Menu Categories: Bowls (18 items, avg price $8.30); Breakfast (20 items, avg price $5.85); Coffee (20 items, avg price $12.18); Dinner ""Available at 4PM"" (20 items, avg price $6.67); Energy Drinks (20 items, avg price $3.50); Fresh Baked Goods (8 items, avg price $2.35); Fresh Snacks (20 items, avg price $3.91); Frozen Beverages (20 items, avg price $5.77); Fruit Juice (3 items, avg price $2.06); Fruit Smoothies (20 items, avg price $5.28); Grocery, Health and Beauty, Ice (16 items, avg price $4.51); Heat and Eat Prepared Meals - microwave at home (4 items, avg price $8.24); Hoagies (20 items, avg price $5.99); Hot Beverages (20 items, avg price $4.15); Iced Beverages (20 items, avg price $4.72); Kids Meals (16 items, avg price $5.83); Meal Replacement (1 items, avg price $4.09); Milk (6 items, avg price $2.51); Milkshakes and Flurricanes (20 items, avg price $5.75); Quesadillas and Burritos (15 items, avg price $6.64); Salads (16 items, avg price $9.65); Snacks (20 items, avg price $3.35); Soda (18 items, avg price $2.19); Soups and Sides (17 items, avg price $4.44); Specialty Sandwiches (20 items, avg price $8.22); Sports Drinks (7 items, avg price $3.45); Teas and Fruit Drinks (17 items, avg price $1.80); Water (18 items, avg price $2.93).",75
18982,"Restaurant: Sprinkles (Georgetown), Price Range: $, Zip Code: 20007. Menu Categories: Boxes/Assortments (2 items, avg price $62.50); Cookies and Brownies (5 items, avg price $4.50); Cupcakes (16 items, avg price $5.66); Picked for you (5 items, avg price $5.50); Pupcakes (1 items, avg price $3.50).",32
18985,"Restaurant: Tia Pepa, Price Range: nan, Zip Code: 20006. Menu Categories: ""Bakery*"" (11 items, avg price $4.77); ""Bread*"" (8 items, avg price $8.01); ""Coffee&amp;Tea*"" (22 items, avg price $4.00); ""Cold Soups*"" (7 items, avg price $21.00); ""Desserts*"" (7 items, avg price $5.14); ""Empanadillas&amp;Pinchos*"" (5 items, avg price $12.40); ""Juices*"" (10 items, avg price $3.90); ""Main Courses*"" (3 items, avg price $16.00); ""PRESERVED FOOD*"" (4 items, avg price $16.40); ""Salads""* (6 items, avg price $10.17); ""Tapas*"" (17 items, avg price $18.34); ""Vegetable Preserved Food*"" (2 items, avg price $5.50); ""beverages*"" (16 items, avg price $3.09); ""paellas""* (3 items, avg price $16.67); ""sandwich  ( Mollete*"" (13 items, avg price $13.46); Picked for you (5 items, avg price $14.90).",73
18986,"Restaurant: Ristorante La Perla, Price Range: $, Zip Code: 20037. Menu Categories: Beverages (3 items, avg price $7.17); Dinner Antipasti Caldo-Hot (7 items, avg price $23.86); Dinner Antipasti Freddo-Cold (10 items, avg price $22.40); Dinner Meats (10 items, avg price $37.40); Dinner Pastas (19 items, avg price $28.53); Dinner Poultry (6 items, avg price $26.33); Dinner Salads (5 items, avg price $15.60); Dinner Seafood Specialties (5 items, avg price $35.40); Dinner Sides (4 items, avg price $6.75); Dinner Soups (6 items, avg price $10.00); Dinner Vegetables (3 items, avg price $13.33); From Our Bakery (3 items, avg price $8.00); Picked for you (5 items, avg price $26.20).",58
